"album","Index","artist","Index","genre","type"
"John Coltrane His Greatest Years",301,"John Coltrane",175,"Jazz","Vinyl"
"Giant Steps",222,"John Coltrane",175,"Jazz","Vinyl"
"John Coltrane & Johnny Hartman",299,"John Coltrane & Johnny Hartman",176,"Jazz","Vinyl"
"John Coltrane and Johnny Hartman",300,"John Coltrane and Johnny Hartman",177,"Jazz","Vinyl"
"The Best of John Fahey 1959-1977 (Remastered)",576,"John Fahey",178,"Pop","Load"
"Of Rivers and Religion _ After the Ball",414,"John Fahey & His Orchestra",179,"Pop","Load"
"Live at the Café au-Go-Go (and Soledad Prison)",334,"John Lee Hooker",180,"Blues","Load"
"Urban Blues (Bonus Track Version)",714,"John Lee Hooker",180,"Blues","Load"
"Imagine",274,"John Lennon",181,"Rock","Vinyl"
"Working Class Hero - The Definitive Lennon",740,"John Lennon",181,"Rock","Load"
"Rock 'N' Roll",471,"John Lennon",181,"Rock","Vinyl"
"Lennon Legend_ The Very Best of John Lennon",322,"John Lennon",181,"Rock","CD"
"Back to the Roots Disc 2",61,"John Mayall",182,"Blues","CD"
"Drivin' On_ The ABC Years (1975-1982) Disc 1",168,"John Mayall",182,"Blues","CD"
"Drivin' On_ The ABC Years (1975-1982) Disc 2",169,"John Mayall",182,"Blues","CD"
"Back to the Roots Disc 1",60,"John Mayall",182,"Blues","CD"
"In the Palace of the King (A Tribute to Freddie King)",281,"John Mayall & The Bluesbreakers",183,"Blues","CD"
"In Spite of Ourselves",279,"John Prine",184,"Folk","CD"
"Lost Dogs and Mixed Blessings",354,"John Prine",184,"Folk","CD"
"John Prine",302,"John Prine",184,"Folk","CD"
"Sunday Morning Coming Down",543,"Johnny Cash",185,"Country","Vinyl"
"Merry Christmas",375,"Johnny Mathis",186,"Holiday","Load"
"Johnny Rivers_ Greatest Hits",303,"Johnny Rivers",187,"Rock","Load"
"Greatest Hits",234,"Johnny Rivers",187,"Rock","CD"
"The Best of Johnny Winter",577,"Johnny Winter",188,"Blues","Load"
"I'm a Bluesman",270,"Johnny Winter",188,"Blues","CD"
"The Progressive Blues Experiment",638,"Johnny Winter",188,"Blues","CD"
"Still Alive and Well",535,"Johnny Winter",188,"Blues","CD"
"Step Back",532,"Johnny Winter",188,"Blues","Load"
"2nd Winter",12,"Johnny Winter",188,"Blues","Vinyl"
"Roots",479,"Johnny Winter",188,"Blues","Load"
"Feliz Navidad",201,"Jose Feliciano",189,"Holiday","Load"
"Fireworks",208,"Jose Feliciano",189,"Rock","Load"
"El Turista (Bonus Track Version)",181,"Josh Rouse",190,"Pop","Load"
"Journey_ Greatest Hits",304,"Journey",191,"Rock","Load"
"Judy Collins",305,"Judy Collins",192,"Folk","Vinyl"
"Tango",556,"Julio Iglesias",193,"Classic","Load"
"Fields",202,"Junip",194,"Pop","Load"
"A Sleep With No Dreaming - Single",25,"k.d. lang and the Siss Boom Bang",195,"Pop","Load"
"The Best of Kansas",578,"Kansas",196,"Rock","Load"
"Point of Know Return",438,"Kansas",196,"Rock","Load"
"Vinyl Confessions",718,"Kansas",196,"Rock","Vinyl"
"La Scala",319,"Keith Jarrett",197,"Jazz","CD"
"Vienna Concert [Live]",717,"Keith Jarrett",197,"Jazz","CD"
"Solo Concerts_ Bremen [Live]",515,"Keith Jarrett",197,"Jazz","CD"
"Solo Concerts_ Lausanne [Disc 2]",516,"Keith Jarrett",197,"Jazz","CD"
"Silver Tongued Devil And I",503,"Kris Kristofferson",198,"Country","Vinyl"
"Kristofferson",316,"Kris Kristofferson",198,"Country","CD"
"Delta Lady _ The Anthology",157,"Kris Kristofferson",198,"Country","CD"
"Delta Lady_ The Rita Coolidge Anthology [Disc 2]",158,"Kris Kristofferson & Rita Coolidge",199,"Country","CD"
"Mothership (Remastered)",391,"Led Zeppelin",200,"Rock","Load"
"Physical Graffiti (Remastered)",435,"Led Zeppelin",200,"Rock","Load"
"The Song Remains the Same Disc 1",648,"Led Zeppelin",200,"Rock","CD"
"The Song Remains the Same Disc 2",649,"Led Zeppelin",200,"Rock","CD"
"Leo Kottke-John Fahey-Peter Lang",323,"Leo Kottke",201,"Pop","Vinyl"
"Live At Montreux",331,"Les McCann",202,"Jazz","Vinyl"
"It's My Party_ The Mercury Anthology",289,"Lesley Gore",203,"Rock","Load"
"Swiss Movement",552,"Less McCann and Eddie Harris",204,"Jazz","Vinyl"
"Mean To Me",373,"Lester Young",205,"Jazz","Vinyl"
"Heart Like A Wheel",249,"Linda Ronstadt",206,"Country","Vinyl"
"Don't Cry Now",164,"Linda Ronstadt",206,"Country","CD"
"Simple Dreams",504,"Linda Ronstadt",206,"Country","CD"
"Ritual Union",468,"Little Dragon",207,"Rock","Load"
"The Loco-Motion",628,"Little Eva",208,"Rock","Load"
"The Georgia Peach",618,"Little Richard",209,"Rock","Load"
"Rearranged",450,"Little River Band",210,"Rock","Load"
"50's Rock",16,"Lloyd Price",211,"Rock","Load"
"Loggins And Messina",344,"Loggins And Messina",212,"Rock","Vinyl"
"A Midwinter Night's Dream",24,"Loreena McKennitt",213,"Holiday","CD"
"Bittertown",86,"Lori McKenna",214,"Pop","Load"
"Los Bravos Single",352,"Los Bravos",215,"Rock","Vinyl"
"Masked And Anonymous",372,"Los Lobos",216,"Rock","CD"
"Los Lobos_ Live at the Fillmore",353,"Los Lobos",216,"Tex Mex","Load"
"Transformer",694,"Lou Reed",217,"Rock","Load"
"Lovin Spoonful Anthology",360,"Lovin Spoonful",218,"Rock","CD"
"One From The Road",419,"Lynyrd Skynyrd",219,"Country","Vinyl"
"Gimme Back My Bullets",223,"Lynyrd Skynyrd",219,"Country","Vinyl"
"The Blue Room",590,"Madeleine Peyroux",220,"Pop","Load"
"Masked And Anonymous",372,"Magokoro Brothers",221,"Rock","Load"
"Christmas",124,"Mannheim Steamroller",222,"Holiday","CD"
"The Ragpicker's Dream",639,"Mark Knopfler",223,"Rock","Load"
